epoch,valid/loss,step,train/loss
0,0.38944682478904724,3,
1,,4,0.39199694991111755
1,0.3464682400226593,7,
2,,9,0.34425756335258484
2,0.3066098690032959,11,
3,,14,0.2891020178794861
3,0.2697276175022125,15,
4,,19,0.2569233775138855
4,0.2404462993144989,19,
5,0.23677220940589905,23,
6,,24,0.23657576739788055
6,0.24372130632400513,27,
7,,29,0.23961006104946136
7,0.23433394730091095,31,
8,,34,0.2333003282546997
8,0.23315837979316711,35,
9,,39,0.2366446852684021
9,0.23399396240711212,39,
10,0.23334316909313202,43,
11,,44,0.2343912124633789
11,0.23206479847431183,47,
12,,49,0.2330678552389145
12,0.23165100812911987,51,
13,,54,0.2315039187669754
13,0.23175323009490967,55,
14,,59,0.23145417869091034
14,0.2313658893108368,59,
15,0.2307877093553543,63,
16,,64,0.23133955895900726
16,0.23034046590328217,67,
17,,69,0.22971343994140625
17,0.22998155653476715,71,
18,,74,0.22960981726646423
18,0.22959177196025848,75,
19,,79,0.22797423601150513
19,0.22923265397548676,79,
20,0.22884291410446167,83,
21,,84,0.22861991822719574
21,0.228423073887825,87,
22,,89,0.22795359790325165
22,0.22793549299240112,91,
23,,94,0.22743932902812958
23,0.22728963196277618,95,
24,,99,0.22696253657341003
24,0.22674056887626648,99,
25,0.22608162462711334,103,
26,,104,0.226128950715065
26,0.22535963356494904,107,
27,,109,0.22573280334472656
27,0.2245931178331375,111,
28,,114,0.22481001913547516
28,0.22379492223262787,115,
29,,119,0.22526004910469055
29,0.22288890182971954,119,
30,0.2218514382839203,123,
31,,124,0.2213306874036789
31,0.22072671353816986,127,
32,,129,0.22141988575458527
32,0.2197379618883133,131,
33,,134,0.2190244048833847
33,0.21828599274158478,135,
34,,139,0.2189757525920868
34,0.2162509709596634,139,
35,0.2143498957157135,143,
36,,144,0.21426159143447876
36,0.21199384331703186,147,
37,,149,0.21014219522476196
37,0.20888155698776245,151,
38,,154,0.20758959650993347
38,0.2067846804857254,155,
39,,159,0.201785609126091
39,0.20162378251552582,159,
40,0.19734275341033936,163,
41,,164,0.19457218050956726
41,0.20242205262184143,167,
42,,169,0.19608663022518158
42,0.19275036454200745,171,
43,,174,0.19579194486141205
43,0.19327029585838318,175,
44,,179,0.18913458287715912
44,0.19439415633678436,179,
45,0.19569280743598938,183,
46,,184,0.1948138028383255
46,0.19711284339427948,187,
47,,189,0.1935035139322281
47,0.19282813370227814,191,
48,,194,0.19487449526786804
48,0.19272977113723755,195,
49,,199,0.1894216239452362
49,0.1899845004081726,199,
50,0.18957647681236267,203,
51,,204,0.18704447150230408
51,0.18919555842876434,207,
52,,209,0.1878192126750946
52,0.1895807385444641,211,
53,,214,0.18924687802791595
53,0.18953007459640503,215,
54,,219,0.18593207001686096
54,0.1912204921245575,219,
55,0.1886717975139618,223,
56,,224,0.18708662688732147
56,0.18864016234874725,227,
57,,229,0.1881687343120575
57,0.1907515674829483,231,
58,,234,0.18919135630130768
58,0.18876846134662628,235,
59,,239,0.19258324801921844
59,0.1872069239616394,239,
60,0.187052920460701,243,
61,,244,0.1881781965494156
61,0.18736669421195984,247,
62,,249,0.18443171679973602
62,0.18719430267810822,251,
63,,254,0.1881895512342453
63,0.18746930360794067,255,
64,,259,0.19433487951755524
64,0.18699021637439728,259,
65,0.18966032564640045,263,
66,,264,0.1892412155866623
66,0.1907946765422821,267,
67,,269,0.18795402348041534
67,0.18641072511672974,271,
68,,274,0.18355895578861237
68,0.18575945496559143,275,
69,,279,0.18628498911857605
69,0.18440251052379608,279,
70,0.18405333161354065,283,
71,,284,0.18706880509853363
71,0.18743540346622467,287,
72,,289,0.18211950361728668
72,0.18380936980247498,291,
73,,294,0.18125435709953308
73,0.18365003168582916,295,
74,,299,0.184580996632576
74,0.18359611928462982,299,
75,0.1821458786725998,303,
76,,304,0.17984916269779205
76,0.18187695741653442,307,
77,,309,0.1818077117204666
77,0.1854344755411148,311,
78,,314,0.18111670017242432
78,0.18376606702804565,315,
79,,319,0.17291149497032166
79,0.1831868588924408,319,
80,0.1790478676557541,323,
81,,324,0.17921458184719086
81,0.17796005308628082,327,
82,,329,0.17863817512989044
82,0.1763797253370285,331,
83,,334,0.17552006244659424
83,0.1752461940050125,335,
84,,339,0.18199776113033295
84,0.174000084400177,339,
85,0.17169418931007385,343,
86,,344,0.17105939984321594
86,0.16914348304271698,347,
87,,349,0.17350663244724274
87,0.1688724011182785,351,
88,,354,0.16790294647216797
88,0.17031580209732056,355,
89,,359,0.17869572341442108
89,0.16936111450195312,359,
90,0.17037898302078247,363,
91,,364,0.1687946915626526
91,0.17204323410987854,367,
92,,369,0.17101433873176575
92,0.1676620990037918,371,
93,,374,0.171278178691864
93,0.1661643087863922,375,
94,,379,0.16835501790046692
94,0.1690274178981781,379,
95,0.16615036129951477,383,
96,,384,0.1701999306678772
96,0.16618703305721283,387,
97,,389,0.16556787490844727
97,0.16422297060489655,391,
98,,394,0.168473482131958
98,0.16533958911895752,395,
99,,399,0.15964128077030182
99,0.1631057858467102,399,
100,0.1629076898097992,403,
101,,404,0.1656435877084732
101,0.16511520743370056,407,
102,,409,0.17142333090305328
102,0.16407737135887146,411,
103,,414,0.16382597386837006
103,0.16869696974754333,415,
104,,419,0.16923268139362335
104,0.16304044425487518,419,
105,0.16386465728282928,423,
106,,424,0.16310927271842957
106,0.16225771605968475,427,
