step,epoch,train/loss,valid/loss
1,0,0.8623136878013611,
3,0,0.8797985315322876,
3,0,,0.8803967237472534
5,1,0.86507648229599,
7,1,0.8692773580551147,
7,1,,0.8803943395614624
9,2,0.8575977087020874,
11,2,0.8901875019073486,
11,2,,0.880391538143158
13,3,0.8644450306892395,
15,3,0.8587725162506104,
15,3,,0.8803882598876953
17,4,0.8665041923522949,
19,4,0.8779547810554504,
19,4,,0.8803852796554565
21,5,0.8659197092056274,
23,5,0.8757069110870361,
23,5,,0.880382239818573
25,6,0.8672849535942078,
27,6,0.8749352693557739,
27,6,,0.8803791999816895
29,7,0.8589157462120056,
31,7,0.874413788318634,
31,7,,0.8803762197494507
33,8,0.8696560263633728,
35,8,0.8666831254959106,
35,8,,0.8803732395172119
37,9,0.8740091323852539,
39,9,0.8745496869087219,
39,9,,0.8803703784942627
41,10,0.8637881875038147,
43,10,0.8599584102630615,
43,10,,0.8803673386573792
45,11,0.8635781407356262,
47,11,0.8685530424118042,
47,11,,0.880364179611206
49,12,0.8604844212532043,
51,12,0.8549398183822632,
51,12,,0.880361020565033
53,13,0.8652899861335754,
55,13,0.8782777786254883,
55,13,,0.880358099937439
57,14,0.8669246435165405,
59,14,0.8560599684715271,
59,14,,0.8803550004959106
61,15,0.8663731217384338,
63,15,0.8416268229484558,
63,15,,0.8803518414497375
65,16,0.8621428608894348,
67,16,0.8896800875663757,
67,16,,0.8803489208221436
69,17,0.8676903247833252,
71,17,0.8593690395355225,
71,17,,0.8803459405899048
73,18,0.8490667343139648,
75,18,0.8698658347129822,
75,18,,0.8803427815437317
77,19,0.8702991008758545,
79,19,0.8609958291053772,
79,19,,0.8803397417068481
81,20,0.8781222105026245,
83,20,0.8604927062988281,
83,20,,0.8803367018699646
85,21,0.8635575175285339,
87,21,0.8810399770736694,
87,21,,0.8803338408470154
89,22,0.857627272605896,
91,22,0.8880849480628967,
91,22,,0.8803306818008423
93,23,0.8699018955230713,
95,23,0.88224196434021,
95,23,,0.880327582359314
97,24,0.8658924698829651,
99,24,0.8527897596359253,
99,24,,0.8803246021270752
101,25,0.8678954243659973,
103,25,0.8751979470252991,
103,25,,0.8803216814994812
105,26,0.864820122718811,
107,26,0.8522538542747498,
107,26,,0.880319356918335
109,27,0.8703271150588989,
111,27,0.8934397101402283,
111,27,,0.880316972732544
113,28,0.8756028413772583,
115,28,0.8700892329216003,
115,28,,0.8803144097328186
117,29,0.8626998662948608,
119,29,0.8691430687904358,
119,29,,0.8803116679191589
121,30,0.8722120523452759,
123,30,0.8915576338768005,
123,30,,0.8803090453147888
125,31,0.8759487867355347,
127,31,0.8480809926986694,
127,31,,0.8803064227104187
129,32,0.8600930571556091,
131,32,0.8528391718864441,
131,32,,0.8803037405014038
133,33,0.8656793832778931,
135,33,0.8660288453102112,
135,33,,0.8803008794784546
137,34,0.8635348081588745,
139,34,0.872235894203186,
139,34,,0.8802980780601501
141,35,0.8789989948272705,
143,35,0.8725273013114929,
143,35,,0.8802951574325562
145,36,0.8723352551460266,
147,36,0.846818745136261,
147,36,,0.8802921772003174
149,37,0.8646386861801147,
151,37,0.8371459245681763,
151,37,,0.8802893757820129
153,38,0.8575057983398438,
155,38,0.8846603631973267,
155,38,,0.8802863955497742
157,39,0.8622128963470459,
159,39,0.8610085248947144,
159,39,,0.8802835941314697
161,40,0.8700366616249084,
163,40,0.8629116415977478,
