train/loss,epoch,step,valid/loss
0.5794461369514465,0,1,
0.4506583511829376,0,3,
,0,3,0.4747427701950073
0.4544665813446045,1,5,
0.3860234022140503,1,7,
,1,7,0.45829257369041443
0.4492374360561371,2,9,
0.42312854528427124,2,11,
,2,11,0.45514851808547974
0.4490398168563843,3,13,
0.475402295589447,3,15,
,3,15,0.45500269532203674
0.4440111815929413,4,17,
0.41333022713661194,4,19,
,4,19,0.4429831802845001
0.430188924074173,5,21,
3.5073421001434326,5,23,
,5,23,2.434144973754883
1.1562776565551758,6,25,
0.4563055634498596,6,27,
,6,27,0.5039864182472229
0.48468413949012756,7,29,
0.45570939779281616,7,31,
,7,31,0.45732417702674866
0.4442521929740906,8,33,
0.4631137251853943,8,35,
,8,35,0.4559659957885742
0.4420023560523987,9,37,
0.4323662519454956,9,39,
,9,39,0.4487813711166382
0.444484144449234,10,41,
0.45474714040756226,10,43,
,10,43,0.4491754472255707
0.4424143135547638,11,45,
0.4126719534397125,11,47,
,11,47,0.4363764822483063
0.42850008606910706,12,49,
0.3973842263221741,12,51,
,12,51,0.3915342092514038
4.950206279754639,13,53,
0.5164816975593567,13,55,
,13,55,0.4483645260334015
0.43182697892189026,14,57,
0.4484465420246124,14,59,
,14,59,0.43401041626930237
0.4347352981567383,15,61,
0.4235598146915436,15,63,
,15,63,0.4320692718029022
0.42687705159187317,16,65,
0.4353387653827667,16,67,
,16,67,0.41568756103515625
0.4071904420852661,17,69,
0.3961159586906433,17,71,
,17,71,0.376710444688797
0.3587706387042999,18,73,
0.3395678997039795,18,75,
,18,75,0.29603251814842224
0.7060151100158691,19,77,
0.31830665469169617,19,79,
,19,79,0.33247727155685425
0.31108373403549194,20,81,
0.2735273540019989,20,83,
,20,83,0.2689323425292969
0.2444641888141632,21,85,
0.2124026119709015,21,87,
,21,87,0.20782308280467987
0.18566466867923737,22,89,
0.15588051080703735,22,91,
,22,91,0.16107484698295593
0.5510287284851074,23,93,
0.13089698553085327,23,95,
,23,95,0.2310473769903183
0.16287314891815186,24,97,
0.20215724408626556,24,99,
,24,99,0.1702791154384613
0.13052193820476532,25,101,
0.15050308406352997,25,103,
,25,103,0.13445957005023956
0.1775137484073639,26,105,
0.06548292189836502,26,107,
,26,107,0.16607548296451569
0.04072263836860657,27,109,
0.02056838385760784,27,111,
,27,111,0.031003568321466446
0.024190427735447884,28,113,
0.016371630132198334,28,115,
,28,115,0.0132014574483037
0.010947679169476032,29,117,
0.016948826611042023,29,119,
,29,119,0.011760568246245384
0.004778647795319557,30,121,
0.018253564834594727,30,123,
,30,123,0.007782005239278078
0.00685306778177619,31,125,
0.008664040826261044,31,127,
,31,127,0.009033210575580597
0.006351731717586517,32,129,
0.002541640307754278,32,131,
,32,131,0.002741792006418109
0.004702175501734018,33,133,
0.002995147369801998,33,135,
,33,135,0.002570612356066704
0.0025840282905846834,34,137,
0.0023681651800870895,34,139,
,34,139,0.0021032821387052536
0.0013550696894526482,35,141,
0.0014040595851838589,35,143,
,35,143,0.001750894240103662
0.0016799499280750751,36,145,
0.00122952985111624,36,147,
,36,147,0.0012380649568513036
0.0013161365641281009,37,149,
0.0008862791582942009,37,151,
,37,151,0.0007706653559580445
0.0006671488517895341,38,153,
0.0009254103060811758,38,155,
,38,155,0.0008761921781115234
0.0007093161693774164,39,157,
0.0006329494062811136,39,159,
,39,159,0.0006679288344457746
0.0006411640206351876,40,161,
0.00041215060628019273,40,163,
,40,163,0.0005233789561316371
0.0005276794545352459,41,165,
0.0007994741317816079,41,167,
,41,167,0.0004952168674208224
0.00047088842256926,42,169,
0.00043548294343054295,42,171,
,42,171,0.00045635688002221286
0.0004137062933295965,43,173,
0.0003539558674674481,43,175,
,43,175,0.00042557212873362005
0.0003720021923072636,44,177,
0.00040443858597427607,44,179,
,44,179,0.00037114921724423766
0.00034702307311818004,45,181,
0.00037679189699701965,45,183,
,45,183,0.0003466186171863228
0.00034104593214578927,46,185,
0.00045392816537059844,46,187,
,46,187,0.0003285863494966179
