step,valid/loss,epoch,train/loss
3,0.3631317913532257,0,
4,,1,0.3598346412181854
7,0.3209379315376282,1,
9,,2,0.31276485323905945
11,0.28368109464645386,2,
14,,3,0.2687894403934479
15,0.2525980770587921,3,
19,,4,0.24047507345676422
19,0.23539790511131287,4,
23,0.24216213822364807,5,
24,,6,0.24294184148311615
27,0.23911623656749725,6,
29,,7,0.23760990798473358
31,0.23321381211280823,7,
34,,8,0.2339676320552826
35,0.23252445459365845,8,
39,,9,0.23686730861663818
39,0.23293554782867432,9,
43,0.23264794051647186,10,
44,,11,0.2344103455543518
47,0.2325231432914734,11,
49,,12,0.23166191577911377
51,0.23274321854114532,12,
54,,13,0.23182015120983124
55,0.23292991518974304,13,
59,,14,0.23083414137363434
59,0.2323138266801834,14,
63,0.23088939487934113,15,
64,,16,0.230325847864151
67,0.2300509661436081,16,
69,,17,0.230215385556221
71,0.2296261340379715,17,
74,,18,0.2303948849439621
75,0.229244664311409,18,
79,,19,0.23009131848812103
79,0.22905725240707397,19,
83,0.2288702130317688,20,
84,,21,0.22821366786956787
87,0.22859516739845276,21,
89,,22,0.2278926521539688
91,0.22783267498016357,22,
94,,23,0.22781571745872498
95,0.2270027995109558,23,
99,,24,0.22941695153713226
99,0.22600646317005157,24,
103,0.22492437064647675,25,
104,,26,0.22603386640548706
107,0.22397765517234802,26,
109,,27,0.2241019308567047
111,0.2229832410812378,27,
114,,28,0.22187566757202148
115,0.22177137434482574,28,
119,,29,0.2237543761730194
119,0.22036558389663696,29,
123,0.21863408386707306,30,
124,,31,0.21816036105155945
127,0.21554990112781525,31,
129,,32,0.21434980630874634
131,0.2114681750535965,32,
134,,33,0.21077127754688263
135,0.2078128457069397,33,
139,,34,0.20113162696361542
139,0.20710593461990356,34,
143,0.274393230676651,35,
144,,36,0.271045058965683
147,0.21202048659324646,36,
149,,37,0.20171503722667694
151,0.20103268325328827,37,
154,,38,0.20093634724617004
155,0.20075303316116333,38,
159,,39,0.20212799310684204
159,0.2002035528421402,39,
163,0.19836077094078064,40,
164,,41,0.19805464148521423
167,0.19715633988380432,41,
169,,42,0.19441306591033936
171,0.19661925733089447,42,
174,,43,0.1944161355495453
175,0.19675283133983612,43,
179,,44,0.187536358833313
179,0.2423790544271469,44,
183,0.20648743212223053,45,
184,,46,0.20489056408405304
187,0.19491305947303772,46,
189,,47,0.19411630928516388
191,0.19423457980155945,47,
194,,48,0.19160789251327515
195,0.1920909285545349,48,
199,,49,0.18752405047416687
199,0.19019083678722382,49,
203,0.18916888535022736,50,
204,,51,0.18705107271671295
207,0.1864520013332367,51,
209,,52,0.18526248633861542
211,0.1842791736125946,52,
214,,53,0.18296799063682556
215,0.1794441044330597,53,
219,,54,0.17123578488826752
219,0.18245384097099304,54,
223,0.17748233675956726,55,
224,,56,0.1737094670534134
227,0.1813635677099228,56,
229,,57,0.17608289420604706
231,0.17738841474056244,57,
234,,58,0.1746395230293274
235,0.17678767442703247,58,
239,,59,0.17907355725765228
239,0.17686468362808228,59,
243,0.1869383305311203,60,
244,,61,0.18277117609977722
247,0.17735929787158966,61,
249,,62,0.177637979388237
251,0.17987917363643646,62,
254,,63,0.17476558685302734
255,0.17355841398239136,63,
259,,64,0.16815988719463348
259,0.17357097566127777,64,
263,0.17277656495571136,65,
264,,66,0.17249131202697754
267,0.17178162932395935,66,
269,,67,0.17390158772468567
271,0.17265428602695465,67,
274,,68,0.17077705264091492
275,0.17332440614700317,68,
279,,69,0.16927050054073334
279,0.17313039302825928,69,
283,0.17154818773269653,70,
284,,71,0.17222192883491516
