epoch,train/loss,step,valid/loss
0,0.8623182773590088,1,
0,0.8797810077667236,3,
0,,3,0.8803998827934265
1,0.8650826215744019,5,
1,0.8692857027053833,7,
1,,7,0.8803996443748474
2,0.8576014637947083,9,
2,0.8902053833007812,11,
2,,11,0.8803993463516235
3,0.8644541501998901,13,
3,0.8587905168533325,15,
3,,15,0.8803991079330444
4,0.8665191531181335,17,
4,0.8779398798942566,19,
4,,19,0.8803988099098206
5,0.8659353256225586,21,
5,0.8757410645484924,23,
5,,23,0.8803985714912415
6,0.8672763109207153,25,
6,0.8749503493309021,27,
6,,27,0.8803982734680176
7,0.8589178919792175,29,
7,0.8744466304779053,31,
7,,31,0.8803980350494385
8,0.8697159886360168,33,
8,0.8666535019874573,35,
8,,35,0.8803977966308594
9,0.8740583062171936,37,
9,0.8746492862701416,39,
9,,39,0.8803974986076355
10,0.8638124465942383,41,
10,0.8600707054138184,43,
10,,43,0.8803970813751221
11,0.8635774254798889,45,
11,0.8685788512229919,47,
11,,47,0.8803969025611877
12,0.8605250716209412,49,
12,0.8549053072929382,51,
12,,51,0.8803966045379639
13,0.8653836846351624,53,
13,0.8783692717552185,55,
13,,55,0.8803962469100952
14,0.8669150471687317,57,
14,0.8562294244766235,59,
14,,59,0.8803960680961609
15,0.8664801716804504,61,
15,0.8416123986244202,63,
15,,63,0.8803957104682922
16,0.8622234463691711,65,
16,0.8897808194160461,67,
16,,67,0.8803955316543579
17,0.867746114730835,69,
17,0.859451949596405,71,
17,,71,0.8803951144218445
18,0.8489908576011658,73,
18,0.8700376152992249,75,
18,,75,0.8803948163986206
19,0.8704677224159241,77,
19,0.8610042929649353,79,
19,,79,0.880394697189331
20,0.8782207369804382,81,
20,0.8604555726051331,83,
20,,83,0.8803942799568176
21,0.8636654615402222,85,
21,0.8813149929046631,87,
21,,87,0.8803940415382385
22,0.8575597405433655,89,
22,0.8881615400314331,91,
22,,91,0.8803938031196594
23,0.8699485063552856,93,
23,0.8824835419654846,95,
23,,95,0.880393385887146
24,0.8659079074859619,97,
24,0.8527241349220276,99,
24,,99,0.8803930878639221
25,0.8680170774459839,101,
25,0.8747073411941528,103,
25,,103,0.8803929686546326
26,0.8649441599845886,105,
26,0.8519430160522461,107,
26,,107,0.8803927898406982
27,0.8704787492752075,109,
27,0.8937497735023499,111,
27,,111,0.8803924322128296
28,0.8757527470588684,113,
28,0.8702526092529297,115,
28,,115,0.8803922533988953
29,0.8627252578735352,117,
29,0.869019091129303,119,
29,,119,0.8803920149803162
30,0.8722643852233887,121,
30,0.8918799161911011,123,
30,,123,0.8803917169570923
31,0.876081645488739,125,
31,0.8479026556015015,127,
31,,127,0.8803914785385132
32,0.8602332472801208,129,
32,0.8531541228294373,131,
32,,131,0.8803912401199341
33,0.8657830357551575,133,
33,0.8660750985145569,135,
33,,135,0.8803909420967102
34,0.8636289238929749,137,
34,0.8727414011955261,139,
34,,139,0.8803907036781311
35,0.8792276382446289,141,
35,0.8725138902664185,143,
35,,143,0.880390465259552
36,0.8724477887153625,145,
36,0.8471206426620483,147,
36,,147,0.8803901076316833
37,0.8647412657737732,149,
37,0.8372617363929749,151,
37,,151,0.8803898096084595
38,0.8576409816741943,153,
38,0.8849818706512451,155,
38,,155,0.8803896903991699
39,0.8623248934745789,157,
39,0.8608818054199219,159,
39,,159,0.8803893327713013
40,0.870125412940979,161,
40,0.8632247447967529,163,
40,,163,0.8803890943527222
41,0.8637506365776062,165,
41,0.880313515663147,167,
41,,167,0.8803887367248535
42,0.8567468523979187,169,
42,0.8733867406845093,171,
42,,171,0.8803884387016296
43,0.8705375790596008,173,
43,0.8605703711509705,175,
43,,175,0.8803882002830505
44,0.868896484375,177,
44,0.8561171293258667,179,
44,,179,0.8803879618644714
45,0.8644750118255615,181,
45,0.8321900963783264,183,
45,,183,0.8803877234458923
46,0.8684088587760925,185,
46,0.8825000524520874,187,
46,,187,0.8803874850273132
47,0.8614835739135742,189,
47,0.8666417598724365,191,
47,,191,0.8803872466087341
48,0.8666993975639343,193,
48,0.8743792176246643,195,
48,,195,0.8803870677947998
49,0.8724625110626221,197,
49,0.8602419495582581,199,
49,,199,0.8803868293762207
50,0.8748220801353455,201,
50,0.8657793402671814,203,
50,,203,0.8803865313529968
51,0.8648829460144043,205,
51,0.8710073828697205,207,
51,,207,0.8803862929344177
52,0.8627141714096069,209,
52,0.865807831287384,211,
52,,211,0.8803859949111938
53,0.8711339235305786,213,
53,0.857149064540863,215,
53,,215,0.8803857564926147
54,0.8636392951011658,217,
54,0.8652616143226624,219,
54,,219,0.8803855776786804
55,0.8655794858932495,221,
55,0.8805848956108093,223,
55,,223,0.8803852796554565
56,0.861906111240387,225,
56,0.8753944635391235,227,
56,,227,0.8803849816322327
57,0.8647670745849609,229,
57,0.8457704186439514,231,
57,,231,0.8803847432136536
58,0.8626251816749573,233,
58,0.870648980140686,235,
58,,235,0.8803845047950745
59,0.8718688488006592,237,
59,0.8761024475097656,239,
59,,239,0.8803842067718506
60,0.8661655783653259,241,
60,0.8561692237854004,243,
60,,243,0.880384087562561
61,0.8651203513145447,245,
61,0.8642053604125977,247,
61,,247,0.8803837299346924
62,0.8695672154426575,249,
62,0.8683752417564392,251,
62,,251,0.8803835511207581
63,0.8671085834503174,253,
63,0.8741238117218018,255,
63,,255,0.8803832530975342
64,0.8579373955726624,257,
64,0.8816981911659241,259,
64,,259,0.8803830146789551
65,0.8618245124816895,261,
65,0.8762490153312683,263,
65,,263,0.8803828954696655
66,0.8633328080177307,265,
66,0.8724696636199951,267,
66,,267,0.8803827166557312
67,0.8639048933982849,269,
67,0.8464290499687195,271,
67,,271,0.8803824782371521
68,0.8640108108520508,273,
68,0.8694641590118408,275,
68,,275,0.8803821802139282
69,0.8691670298576355,277,
69,0.8588502407073975,279,
69,,279,0.8803818225860596
70,0.8627808094024658,281,
70,0.8878294229507446,283,
70,,283,0.88038170337677
71,0.8710425496101379,285,
71,0.8603529334068298,287,
71,,287,0.8803814649581909
72,0.8687007427215576,289,
72,0.8421979546546936,291,
72,,291,0.8803812265396118
73,0.8716742396354675,293,
73,0.8693372011184692,295,
73,,295,0.8803809881210327
74,0.8723857998847961,297,
74,0.8385775685310364,299,
74,,299,0.8803808093070984
75,0.869922399520874,301,
75,0.8551041483879089,303,
75,,303,0.8803804516792297
76,0.8672988414764404,305,
76,0.8386052846908569,307,
76,,307,0.8803802728652954
77,0.8684419393539429,309,
77,0.8895350098609924,311,
77,,311,0.8803800344467163
78,0.8695973753929138,313,
78,0.8436345458030701,315,
78,,315,0.8803797960281372
79,0.8614020943641663,317,
79,0.8630201816558838,319,
79,,319,0.8803795576095581
80,0.8666205406188965,321,
80,0.8765591382980347,323,
80,,323,0.8803794384002686
81,0.8696296811103821,325,
81,0.8954595327377319,327,
81,,327,0.8803790211677551
82,0.8646706938743591,329,
82,0.8631258010864258,331,
