epoch,step,train/loss,valid/loss
0,1,3.5652401447296143,
0,3,1.6020140647888184,
0,3,,1.361089825630188
1,5,1.1221702098846436,
1,7,1.614444375038147,
1,7,,1.3280149698257446
2,9,0.9778214693069458,
2,11,0.9980475902557373,
2,11,,0.9669203162193298
3,13,0.9508879780769348,
3,15,0.8915165662765503,
3,15,,0.9512147307395935
4,17,0.9178898334503174,
4,19,0.9684426784515381,
4,19,,0.929985761642456
5,21,0.9084913730621338,
5,23,0.9030020236968994,
5,23,,0.9215320348739624
6,25,0.9127459526062012,
6,27,0.9007266163825989,
6,27,,0.9119101166725159
7,29,0.8913879990577698,
7,31,0.8648272156715393,
7,31,,0.8998642563819885
8,33,0.869655966758728,
8,35,0.8832350969314575,
8,35,,0.9046915173530579
9,37,0.8899028897285461,
9,39,0.8589273691177368,
9,39,,0.8847638964653015
10,41,0.8686802387237549,
10,43,0.8269204497337341,
10,43,,0.8798250555992126
11,45,0.8682298064231873,
11,47,0.8665289282798767,
11,47,,0.8740228414535522
12,49,0.847662627696991,
12,51,0.843851625919342,
12,51,,0.8692819476127625
13,53,0.8515611290931702,
13,55,0.8735837936401367,
13,55,,0.8616922497749329
14,57,0.8519434928894043,
14,59,0.8303136229515076,
14,59,,0.8573460578918457
15,61,0.8392062783241272,
15,63,0.8287993669509888,
15,63,,0.8517624735832214
16,65,0.8308243751525879,
16,67,0.8383094072341919,
16,67,,0.8412158489227295
17,69,0.8206108808517456,
17,71,0.8224988579750061,
17,71,,0.8265543580055237
18,73,0.7937719821929932,
18,75,0.8505565524101257,
18,75,,0.8257849216461182
19,77,0.808403491973877,
19,79,0.8949817419052124,
19,79,,0.8787240386009216
20,81,0.804798424243927,
20,83,0.7862733602523804,
20,83,,0.8270907402038574
21,85,0.7928508520126343,
21,87,0.8062014579772949,
21,87,,0.8331931829452515
22,89,0.7761622667312622,
22,91,0.8547964096069336,
22,91,,0.8302212357521057
23,93,0.7814198732376099,
23,95,0.8523995876312256,
23,95,,0.8174427151679993
24,97,0.78019118309021,
24,99,0.7582666277885437,
24,99,,0.8262389898300171
25,101,0.7886350750923157,
25,103,0.8522708415985107,
25,103,,0.80804842710495
26,105,0.7515629529953003,
26,107,0.7384382486343384,
26,107,,0.8247911334037781
27,109,0.791617214679718,
27,111,0.8151957988739014,
27,111,,0.7991159558296204
28,113,0.7650148272514343,
28,115,0.8068394660949707,
28,115,,0.8045132160186768
29,117,0.7557265162467957,
29,119,0.8576892018318176,
29,119,,0.8420872688293457
30,121,0.7641770243644714,
30,123,0.7998632192611694,
30,123,,0.7824998497962952
31,125,0.7572284936904907,
31,127,0.7152805328369141,
31,127,,0.7747829556465149
32,129,0.794557511806488,
32,131,0.7408767342567444,
32,131,,0.801245927810669
33,133,0.7793019413948059,
33,135,0.7833309769630432,
33,135,,0.844455897808075
34,137,0.8349211812019348,
34,139,0.7136873602867126,
34,139,,0.8099735975265503
35,141,0.7796610593795776,
35,143,0.7305371165275574,
35,143,,0.8301823139190674
36,145,0.8224928379058838,
36,147,0.7394043803215027,
36,147,,0.8053479194641113
37,149,0.7762593626976013,
37,151,0.7537801265716553,
37,151,,0.8124812245368958
38,153,0.779691219329834,
38,155,0.7367441654205322,
38,155,,1.0046981573104858
39,157,1.2027226686477661,
39,159,1.1731106042861938,
39,159,,0.938139796257019
40,161,0.7067980170249939,
40,163,0.9034202098846436,
40,163,,0.9625253081321716
41,165,0.932809591293335,
41,167,0.7098145484924316,
41,167,,0.7828386425971985
42,169,0.9504352807998657,
42,171,0.8354165554046631,
42,171,,0.7819734811782837
43,173,0.7194900512695312,
43,175,0.7032375931739807,
43,175,,0.7302584052085876
44,177,0.7251428365707397,
44,179,0.700236976146698,
44,179,,0.7189009189605713
45,181,0.710534393787384,
45,183,0.6635505557060242,
45,183,,0.7145110964775085
46,185,0.696290135383606,
46,187,0.6718682050704956,
46,187,,0.7064262628555298
47,189,0.7094199657440186,
47,191,0.6675205230712891,
47,191,,0.710737943649292
48,193,0.7319948077201843,
48,195,0.684762716293335,
48,195,,0.7189135551452637
49,197,0.6882493495941162,
49,199,0.7510366439819336,
49,199,,0.7138460278511047
50,201,0.7200334668159485,
50,203,0.6647037863731384,
50,203,,0.7154258489608765
51,205,0.686314582824707,
51,207,0.7969751358032227,
51,207,,0.7487747669219971
52,209,0.6931724548339844,
52,211,0.8128843903541565,
52,211,,0.8734220862388611
53,213,0.8102514147758484,
53,215,0.6355326175689697,
53,215,,0.7355872988700867
54,217,0.6887391209602356,
54,219,0.836670458316803,
54,219,,0.7136857509613037
55,221,0.762782096862793,
55,223,0.6628398299217224,
55,223,,0.7357586026191711
56,225,0.7535024881362915,
