epoch,train/loss,step,valid/loss
0,5.039079189300537,1,
0,0.9355242252349854,3,
0,,3,1.087668538093567
1,1.0110290050506592,5,
1,1.0114586353302002,7,
1,,7,1.0653952360153198
2,0.9474861025810242,9,
2,0.9092555046081543,11,
2,,11,0.9052037000656128
3,0.9080060124397278,13,
3,0.8680223226547241,15,
3,,15,0.8943387866020203
4,0.8671833872795105,17,
4,0.8946515321731567,19,
4,,19,0.8880613446235657
5,0.8604938387870789,21,
5,0.8791223764419556,23,
5,,23,0.8685081005096436
6,0.8905052542686462,25,
6,0.8807639479637146,27,
6,,27,0.8657121062278748
7,0.8407357931137085,29,
7,0.8580685257911682,31,
7,,31,0.8574201464653015
8,0.8537570834159851,33,
8,0.837584376335144,35,
8,,35,0.8431527018547058
9,0.8534868359565735,37,
9,0.8185834288597107,39,
9,,39,0.850373387336731
10,0.8534581065177917,41,
10,0.7886313796043396,43,
10,,43,0.7961140275001526
11,0.7786670327186584,45,
11,0.7858705520629883,47,
11,,47,0.7569416761398315
12,0.7094164490699768,49,
12,1.219977855682373,51,
12,,51,0.7824407815933228
13,0.8582638502120972,53,
13,0.9214351177215576,55,
13,,55,0.8219484686851501
14,0.7819895148277283,57,
14,0.8668240904808044,59,
14,,59,0.7238393425941467
15,0.7084643840789795,61,
15,0.6863301396369934,63,
15,,63,0.8204684257507324
16,0.7368565797805786,65,
16,0.739851713180542,67,
16,,67,0.7093105912208557
17,0.6671550273895264,69,
17,0.7662482261657715,71,
17,,71,0.7771115303039551
18,0.7213108539581299,73,
18,0.8878613710403442,75,
18,,75,1.0373936891555786
19,0.90812087059021,77,
19,0.7378846406936646,79,
19,,79,0.9130992889404297
20,0.851827085018158,81,
20,0.8440753817558289,83,
20,,83,0.9092028141021729
21,0.8489025235176086,85,
21,0.6798054575920105,87,
21,,87,0.7774562239646912
22,0.6928154826164246,89,
22,0.6900251507759094,91,
22,,91,0.6933484077453613
23,0.6521192789077759,93,
23,0.6915364861488342,95,
23,,95,0.6508834362030029
24,0.6896102428436279,97,
24,0.6501654982566833,99,
24,,99,0.6657201647758484
25,0.6510106325149536,101,
25,0.6915993690490723,103,
25,,103,0.6727204322814941
26,0.5893514752388,105,
26,0.5475953817367554,107,
26,,107,0.6620259881019592
27,0.6713768839836121,109,
27,0.5751563906669617,111,
