step,epoch,train/loss,valid/loss
1,0,85.53072357177734,
3,0,367782.78125,
3,0,,1838.1201171875
5,1,12.890105247497559,
7,1,0.6931664347648621,
7,1,,0.6063046455383301
9,2,0.5615965723991394,
11,2,0.4696202576160431,
11,2,,0.45775336027145386
13,3,0.4788413941860199,
15,3,0.4303821623325348,
15,3,,0.4251742959022522
17,4,0.42755061388015747,
19,4,0.42609864473342896,
19,4,,0.4186449944972992
21,5,0.42176297307014465,
23,5,0.4190678298473358,
23,5,,0.4167637526988983
25,6,0.4206349551677704,
27,6,0.4084090292453766,
27,6,,0.4140372574329376
29,7,0.4164554178714752,
31,7,0.4101680517196655,
31,7,,0.41270533204078674
33,8,0.41681569814682007,
35,8,0.41795527935028076,
35,8,,0.4114973843097687
37,9,0.41731002926826477,
39,9,0.4053841233253479,
39,9,,0.4100707769393921
41,10,0.4112427234649658,
43,10,0.3973364531993866,
43,10,,0.4092448353767395
45,11,0.4114101827144623,
47,11,0.41030067205429077,
47,11,,0.40754565596580505
49,12,0.4123631715774536,
51,12,0.4107103645801544,
51,12,,0.406406044960022
53,13,0.40599408745765686,
55,13,0.40523454546928406,
55,13,,0.4049358367919922
57,14,0.4061250388622284,
59,14,0.4114748239517212,
59,14,,0.40391767024993896
61,15,0.4062038064002991,
63,15,0.395182341337204,
63,15,,0.4034885764122009
65,16,0.40094709396362305,
67,16,0.41551733016967773,
67,16,,0.4009137749671936
69,17,0.4023495018482208,
71,17,0.4014316499233246,
71,17,,0.3995913565158844
73,18,0.40249451994895935,
75,18,0.3907114267349243,
75,18,,0.39954525232315063
77,19,0.4010657072067261,
79,19,0.4049408733844757,
79,19,,0.3979239761829376
81,20,0.4029819667339325,
83,20,0.4011511504650116,
83,20,,0.39725014567375183
85,21,0.3978024423122406,
87,21,0.38642269372940063,
87,21,,0.39383238554000854
89,22,0.39220789074897766,
91,22,0.4020552635192871,
91,22,,0.39213353395462036
93,23,0.39491158723831177,
95,23,0.39280080795288086,
95,23,,0.39150765538215637
97,24,0.3950400948524475,
99,24,0.392848402261734,
99,24,,0.3890586495399475
101,25,0.3880699574947357,
103,25,0.39103594422340393,
103,25,,0.386854887008667
105,26,0.3862249553203583,
107,26,0.37812021374702454,
107,26,,0.38482967019081116
109,27,0.38326770067214966,
111,27,0.3876521587371826,
111,27,,0.38252362608909607
